state,district,mandi,latitude,longitude
Gujarat,Ahmedabad,Ahmedabad APMC,23.0218,72.5922
Maharashtra,Mumbai,Mumbai APMC,19.0450,73.0000
Maharashtra,Thane,Kalyan APMC,19.2403,73.1305
Maharashtra,Thane,Bhiwandi APMC,19.3000,73.0667
Maharashtra,Palghar,Vasai APMC,19.3919,72.8397
Maharashtra,Palghar,Palghar APMC,19.6967,72.7656
Maharashtra,Pune,Pune APMC,18.5204,73.8567
Maharashtra,Nashik,Nashik APMC,19.9975,73.7898
Maharashtra,Ahilyanagar,Ahmednagar APMC,19.0946,74.7480
Gujarat,Ahmedabad,Sanand APMC,22.9925,72.3810
Gujarat,Gandhinagar,Kalol APMC,23.2467,72.4960
Gujarat,Kheda,Nadiad APMC,22.6916,72.8634
Gujarat,Vadodara,Vadodara APMC,22.3072,73.1812
Gujarat,Surat,Surat APMC,21.1702,72.8311
Gujarat,Rajkot,Rajkot APMC,22.3039,70.8022
Rajasthan,Jaipur,Jaipur APMC,26.9124,75.7873
Rajasthan,Ajmer,Ajmer APMC,26.4499,74.6399
Rajasthan,Kota,Kota APMC,25.2138,75.8648
Rajasthan,Udaipur,Udaipur APMC,24.5854,73.7125
Rajasthan,Alwar,Alwar APMC,27.5530,76.6346
Rajasthan,Jodhpur,Jodhpur APMC,26.2389,73.0243
