date,state,district,mandi,commodity,crop_category,is_perishable,min_price,max_price,modal_price,temperature,rainfall,humidity,day_of_week,month,day_of_year,heavy_rain_flag,weather_severity,price_lag_1,price_lag_3,price_lag_7,price_ma_7,price_ma_14,price_volatility_7,price_change_1d,price_change_7d
2025-01-15,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2884.25,3905.61,3294.64,36.1,0.0,62.79,2,1,15,0,0,2912.32,3197.62,3044.18,2997.702857142857,2978.967857142857,131.25638076099838,382.3199999999997,250.46000000000004
2025-01-16,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2683.74,3823.3,3353.27,18.98,0.0,58.73,3,1,16,0,0,3294.64,3052.3,2881.33,3033.4828571428566,3015.924285714286,173.4067992433097,58.63000000000011,471.94000000000005
2025-01-17,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2714.05,3413.69,2977.98,18.17,3.69,64.51,4,1,17,0,0,3353.27,2912.32,2820.6,3100.902857142857,3058.27,194.81385908214074,-375.28999999999996,157.3800000000001
2025-01-18,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2857.76,3712.3,3218.34,18.91,3.79,66.03,5,1,18,0,0,2977.98,3294.64,3075.57,3123.3857142857146,3047.601428571429,163.66460784758794,240.36000000000013,142.76999999999998
2025-01-19,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2801.3,3478.14,3124.16,34.27,0.0,59.18,6,1,19,0,0,3218.34,3353.27,3197.62,3143.781428571428,3076.1092857142858,165.59725283838213,-94.18000000000029,-73.46000000000004
2025-01-20,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3043.06,3678.53,3402.54,37.03,6.64,35.84,0,1,20,0,0,3124.16,2977.98,3052.3,3133.2871428571425,3081.5164285714286,163.93606443918776,278.3800000000001,350.2399999999998
2025-01-21,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,3047.44,3787.76,3338.93,20.8,0.0,33.17,1,1,21,0,0,3402.54,3218.34,2912.32,3183.3214285714284,3120.0157142857142,186.93331024981208,-63.61000000000013,426.6099999999997
2025-01-22,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2252.37,3227.1,2714.02,37.89,8.12,52.66,2,1,22,0,0,3338.93,3124.16,3294.64,3244.2657142857142,3120.9842857142858,149.68699919689658,-624.9099999999999,-580.6199999999999
2025-01-23,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2691.21,3960.39,3203.0,22.96,3.1,46.61,3,1,23,0,0,2714.02,3402.54,3353.27,3161.32,3097.401428571429,246.6104196906531,488.98,-150.26999999999998
2025-01-24,Gujarat,Ahmedabad,Ahmedabad APMC,Banana,Fruit,1,2540.24,3508.67,3042.41,24.02,0.0,36.59,4,1,24,0,0,3203.0,3338.93,2977.98,3139.8528571428574,3120.377857142857,233.29764498842,-160.59000000000015,64.42999999999984
