date,state,district,mandi,commodity,crop_category,is_perishable,min_price,max_price,modal_price,temperature,rainfall,humidity
2025-01-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1628.41,2013.85,1857.36,24.6,1.17,39.51
2025-01-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1667.83,2243.55,1877.39,39.41,11.14,30.65
2025-01-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1519.11,1937.78,1785.86,23.25,0.6,57.85
2025-01-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1594.66,2211.36,1985.42,33.6,6.6,60.42
2025-01-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1461.06,2086.39,1767.87,37.43,5.26,25.42
2025-01-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1589.15,2124.33,1772.22,26.17,0.0,35.11
2025-01-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1694.42,2106.24,1852.1,20.23,0.0,31.29
2025-01-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1481.82,1943.49,1643.36,37.37,0.0,72.43
2025-01-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1490.09,2147.05,1723.94,27.08,3.89,60.88
2025-01-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1564.22,2060.89,1738.93,38.68,0.0,62.53
2025-01-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1768.17,2174.43,1998.95,23.47,0.65,43.81
2025-01-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1499.01,2073.0,1851.6,20.42,0.0,43.07
2025-01-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1567.79,2043.24,1789.14,26.88,2.67,38.62
2025-01-14,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1437.13,2140.46,1727.25,33.55,4.25,64.59
2025-01-15,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1469.0,2155.42,1790.29,21.92,0.25,49.66
2025-01-16,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1648.0,2132.42,1793.76,31.37,13.11,69.5
2025-01-17,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1676.89,2255.21,1860.85,23.5,0.0,27.09
2025-01-18,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1637.75,2200.04,1954.7,23.06,0.0,86.29
2025-01-19,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1712.53,2144.52,1891.95,33.73,0.0,50.72
2025-01-20,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1573.37,2002.72,1729.46,24.36,3.18,41.03
2025-01-21,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1696.69,2200.01,1956.15,32.03,3.03,83.36
2025-01-22,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1583.4,2086.38,1867.37,41.94,0.19,58.12
2025-01-23,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1397.7,1875.32,1723.62,20.63,0.0,65.78
2025-01-24,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1644.18,2115.76,1836.97,19.52,8.34,49.81
2025-01-25,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1772.15,2254.76,1927.22,41.31,0.0,80.95
2025-01-26,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1545.44,2319.04,1928.48,34.36,0.0,59.9
2025-01-27,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1517.36,2168.32,1823.71,20.68,5.67,53.26
2025-01-28,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1718.7,2498.55,2011.47,39.02,7.59,42.12
2025-01-29,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1559.11,2012.85,1812.77,39.9,0.14,81.58
2025-01-30,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1623.51,2308.82,1942.43,32.62,7.85,34.93
2025-01-31,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1656.52,2177.15,1858.12,36.69,0.89,59.47
2025-02-01,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1434.98,2035.9,1793.57,18.47,0.0,85.39
2025-02-02,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1814.48,2447.61,2003.96,25.38,10.14,28.77
2025-02-03,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1730.64,2372.2,1911.55,20.06,8.02,56.59
2025-02-04,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1585.46,2372.0,1961.46,36.38,0.0,33.35
2025-02-05,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1683.63,2305.26,1964.48,24.36,11.23,81.71
2025-02-06,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1637.4,2147.86,1924.59,30.94,11.39,72.45
2025-02-07,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1358.59,1867.74,1648.5,41.88,6.93,67.24
2025-02-08,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1657.2,2270.29,1943.76,20.9,0.21,39.61
2025-02-09,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1636.73,2297.68,1947.16,23.52,0.0,39.31
2025-02-10,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1549.43,2275.29,1916.38,23.49,4.14,83.85
2025-02-11,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1898.91,2296.05,2102.53,23.71,0.0,68.48
2025-02-12,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1534.47,2048.83,1858.36,40.45,0.0,62.12
2025-02-13,Maharashtra,Mumbai,Mumbai APMC,Tomato,Vegetable,1,1753.94,2484.12,2047.27,37.38,3.97,37.38
